Food_description,Food_type,Energy (kcal),Protein (g),Carbohydrate (g),Sugars(g),Fiber  total dietary (g),Total Fat (g),Saturated_fat,Vitamin C (mg),Vitamin_E (mg),Calcium (mg),Magnesium (mg),Iron (mg),Potassium (mg),Sodium (mg)
Apple   ,Fruits,52,0.26,13.81,10.39,2.4,0.17,0.028,4.6,0.18,6,5,0.12,107,1
Banana   ,Fruits,89,1.09,22.84,12.23,2.6,0.33,0.112,8.7,0.1,5,27,0.26,358,1
Tangerine   ,Citrus fruits,53,0.81,13.34,10.58,1.8,0.31,0.039,26.7,0.2,37,12,0.15,166,2
Clementine   ,Citrus fruits,53,0.81,13.34,10.58,1.8,0.31,0.039,26.7,0.2,37,12,0.15,166,2
Kumquat   ,Citrus fruits,71,1.88,15.9,9.36,6.5,0.86,0.103,43.9,0.15,62,20,0.86,186,10
Grapefruit   ,Citrus fruits,42,0.77,10.66,6.89,1.6,0.14,0.021,31.2,0.13,22,9,0.08,135,0
Lemon   ,Citrus fruits,29,1.1,9.32,2.5,2.8,0.3,0.039,53,0.15,26,8,0.6,138,2
Lime   ,Citrus fruits,30,0.7,10.54,1.69,2.8,0.2,0.022,29.1,0.22,33,6,0.6,102,2
Orange   ,Citrus fruits,47,0.94,11.75,9.35,2.4,0.12,0.015,53.2,0.18,40,10,0.1,181,0
Tamarind  dried,Dried fruits,254,2.52,66.21,44.9,4.6,0.57,0.245,0.6,0.09,67,83,2.52,565,25
Raisins,Dried fruits,299,3.3,79.32,65.18,4.5,0.25,0.094,2.3,0.12,62,36,1.79,744,26
Prune  dried,Dried fruits,240,2.18,63.88,38.13,7.1,0.38,0.088,0.6,0.43,43,41,0.93,732,2
Pineapple  dried,Dried fruits,313,1.43,81.54,72.94,3.7,0.47,0.024,25.4,0.05,35,32,0.79,290,3
Persimmon  dried,Dried fruits,366,1.54,96.07,80.06,9.6,0.66,0.053,4,1.94,22,24,0.42,429,3
Fruit mixture  dried,Dried fruits,298,2.28,78.62,66.33,4.8,0.62,0.104,5.5,1.52,39,24,1.3,531,32
Peach  dried,Dried fruits,239,3.61,61.33,41.74,8.2,0.76,0.082,4.8,0.19,28,42,4.06,996,7
Apricot  dried,Dried fruits,241,3.39,62.64,53.44,7.3,0.51,0.017,1,4.33,55,32,2.66,1162,10
Blueberries  dried,Dried fruits,317,2.5,80,67.5,7.5,2.5,0.2,23.8,2.35,19,18,0.9,214,3
Currants  dried,Dried fruits,290,3.43,76.98,62.28,4.4,0.22,0.085,4.7,0.11,88,36,1.88,777,43
Cranberries  dried,Dried fruits,308,0.17,82.8,72.56,5.3,1.09,0.088,0.2,2.1,9,4,0.39,49,5
Cherries  dried,Dried fruits,333,1.25,80.45,67.15,2.5,0.73,0.146,19.3,0.17,38,22,0.68,376,13
Date dried,Dried fruits,282,2.45,75.03,63.35,8,0.39,0.032,0.4,0.05,39,43,1.02,656,2
Fig  dried,Dried fruits,249,3.3,63.9,47.9,9.8,0.92,0.144,1.2,0.36,162,68,2.03,680,10
Mango  dried,Dried fruits,319,2.45,78.58,66.27,2.4,1.18,0.287,42.3,4.02,0,20,0.23,279,162
Papaya  dried,Dried fruits,295,1.25,75.43,67.55,4.5,0.84,0.215,32.4,0.8,54,56,0.69,484,22
Apple  dried,Dried fruits,243,0.93,65.89,57.19,8.7,0.32,0.052,3.9,0.53,14,16,1.4,450,87
Pear  dried,Dried fruits,262,1.87,69.7,62.2,7.5,0.63,0.035,7,0.06,34,33,2.1,533,6
Grapes   ,Fruits,69,0.72,18.1,15.48,0.9,0.16,0.054,3.2,0.19,10,7,0.36,191,2
Cantaloupe   ,Melon,34,0.82,8.16,7.88,0.8,0.18,0.051,10.9,0.05,9,13,0.38,157,30
Cassaba melon   ,Melon,28,1.11,6.58,5.69,0.9,0.1,0.025,21.8,0.05,11,11,0.34,182,9
Honeydew melon   ,Melon,36,0.54,9.09,8.12,0.8,0.14,0.038,18,0.02,6,10,0.17,228,18
Watermelon   ,Melon,30,0.61,7.55,6.2,0.4,0.15,0.016,8.1,0.05,7,10,0.24,112,1
Pear  Asian   ,Fruits,42,0.5,10.65,7.05,3.6,0.23,0.012,3.8,0.12,4,8,0,121,0
Pear   ,Fruits,57,0.36,15.23,9.75,3.1,0.14,0.022,4.3,0.12,9,7,0.18,116,1
Pineapple   ,Fruits,50,0.54,13.12,9.85,1.4,0.12,0.009,47.8,0.02,13,12,0.29,109,1
Strawberry,Berries,32,0.67,7.68,4.89,2,0.3,0.015,58.8,0.29,16,13,0.41,153,1
Tomatoes   ,Tomatoes,18,0.88,3.89,2.63,1.2,0.2,0.028,13.7,0.54,10,11,0.27,237,5
Sun-dried tomatoes,Tomatoes,258,14.11,55.76,37.59,12.3,2.97,0.426,39.2,0.01,110,194,9.09,3427,107
